season,round,url,raceName,date,circuitId,time
1992,14,http://en.wikipedia.org/wiki/1992_Portuguese_Grand_Prix,Portuguese Grand Prix,1992-09-27,estoril,
1992,15,http://en.wikipedia.org/wiki/1992_Japanese_Grand_Prix,Japanese Grand Prix,1992-10-25,suzuka,
1992,16,http://en.wikipedia.org/wiki/1992_Australian_Grand_Prix,Australian Grand Prix,1992-11-08,adelaide,
1984,1,http://en.wikipedia.org/wiki/1984_Brazilian_Grand_Prix,Brazilian Grand Prix,1984-03-25,jacarepagua,
1984,2,http://en.wikipedia.org/wiki/1984_South_African_Grand_Prix,South African Grand Prix,1984-04-07,kyalami,
1984,3,http://en.wikipedia.org/wiki/1984_Belgian_Grand_Prix,Belgian Grand Prix,1984-04-29,zolder,
1984,4,http://en.wikipedia.org/wiki/1984_San_Marino_Grand_Prix,San Marino Grand Prix,1984-05-06,imola,
1984,5,http://en.wikipedia.org/wiki/1984_French_Grand_Prix,French Grand Prix,1984-05-20,dijon,
1984,6,http://en.wikipedia.org/wiki/1984_Monaco_Grand_Prix,Monaco Grand Prix,1984-06-03,monaco,
1984,7,http://en.wikipedia.org/wiki/1984_Canadian_Grand_Prix,Canadian Grand Prix,1984-06-17,villeneuve,
1984,8,http://en.wikipedia.org/wiki/1984_Detroit_Grand_Prix,Detroit Grand Prix,1984-06-24,detroit,
1984,9,http://en.wikipedia.org/wiki/1984_Dallas_Grand_Prix,Dallas Grand Prix,1984-07-08,dallas,
1984,10,http://en.wikipedia.org/wiki/1984_British_Grand_Prix,British Grand Prix,1984-07-22,brands_hatch,
1984,11,http://en.wikipedia.org/wiki/1984_German_Grand_Prix,German Grand Prix,1984-08-05,hockenheimring,
1984,12,http://en.wikipedia.org/wiki/1984_Austrian_Grand_Prix,Austrian Grand Prix,1984-08-19,osterreichring,
1984,13,http://en.wikipedia.org/wiki/1984_Dutch_Grand_Prix,Dutch Grand Prix,1984-08-26,zandvoort,
1984,14,http://en.wikipedia.org/wiki/1984_Italian_Grand_Prix,Italian Grand Prix,1984-09-09,monza,
1984,15,http://en.wikipedia.org/wiki/1984_European_Grand_Prix,European Grand Prix,1984-10-07,nurburgring,
1984,16,http://en.wikipedia.org/wiki/1984_Portuguese_Grand_Prix,Portuguese Grand Prix,1984-10-21,estoril,
2003,1,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,Australian Grand Prix,2003-03-09,albert_park,
2003,2,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,Malaysian Grand Prix,2003-03-23,sepang,
2003,3,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,Brazilian Grand Prix,2003-04-06,interlagos,
2003,4,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,San Marino Grand Prix,2003-04-20,imola,
2003,5,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,Spanish Grand Prix,2003-05-04,catalunya,
2003,6,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix,Austrian Grand Prix,2003-05-18,osterreichring,
2003,7,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,Monaco Grand Prix,2003-06-01,monaco,
2003,8,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix,Canadian Grand Prix,2003-06-15,villeneuve,
2003,9,http://en.wikipedia.org/wiki/2003_European_Grand_Prix,European Grand Prix,2003-06-29,nurburgring,
2003,10,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,French Grand Prix,2003-07-06,magny_cours,
2003,11,http://en.wikipedia.org/wiki/2003_British_Grand_Prix,British Grand Prix,2003-07-20,silverstone,
2003,12,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,German Grand Prix,2003-08-03,hockenheimring,
2003,13,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix,Hungarian Grand Prix,2003-08-24,hungaroring,
2003,14,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix,Italian Grand Prix,2003-09-14,monza,
2003,15,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix,United States Grand Prix,2003-09-28,indianapolis,
2003,16,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix,Japanese Grand Prix,2003-10-12,suzuka,
1951,1,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,Swiss Grand Prix,1951-05-27,bremgarten,
1951,2,http://en.wikipedia.org/wiki/1951_Indianapolis_500,Indianapolis 500,1951-05-30,indianapolis,
1951,3,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,Belgian Grand Prix,1951-06-17,spa,
1951,4,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,French Grand Prix,1951-07-01,reims,
1951,5,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,British Grand Prix,1951-07-14,silverstone,
1951,6,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,German Grand Prix,1951-07-29,nurburgring,
1951,7,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,Italian Grand Prix,1951-09-16,monza,
1951,8,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,Spanish Grand Prix,1951-10-28,pedralbes,
2015,1,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix,Australian Grand Prix,2015-03-15,albert_park,05:00:00Z
2015,2,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix,Malaysian Grand Prix,2015-03-29,sepang,07:00:00Z
2015,3,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix,Chinese Grand Prix,2015-04-12,shanghai,06:00:00Z
2015,4,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix,Bahrain Grand Prix,2015-04-19,bahrain,15:00:00Z
2015,5,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix,Spanish Grand Prix,2015-05-10,catalunya,12:00:00Z
2015,6,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix,Monaco Grand Prix,2015-05-24,monaco,12:00:00Z
2015,7,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix,Canadian Grand Prix,2015-06-07,villeneuve,18:00:00Z
2015,8,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix,Austrian Grand Prix,2015-06-21,red_bull_ring,12:00:00Z
2015,9,http://en.wikipedia.org/wiki/2015_British_Grand_Prix,British Grand Prix,2015-07-05,silverstone,12:00:00Z
2015,10,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix,Hungarian Grand Prix,2015-07-26,hungaroring,12:00:00Z
2015,11,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix,Belgian Grand Prix,2015-08-23,spa,12:00:00Z
2015,12,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix,Italian Grand Prix,2015-09-06,monza,12:00:00Z
2015,13,https://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix,Singapore Grand Prix,2015-09-20,marina_bay,12:00:00Z
2015,14,https://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix,Japanese Grand Prix,2015-09-27,suzuka,05:00:00Z
2015,15,https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix,Russian Grand Prix,2015-10-11,sochi,11:00:00Z
2015,16,https://en.wikipedia.org/wiki/2015_United_States_Grand_Prix,United States Grand Prix,2015-10-25,americas,19:00:00Z
2015,17,https://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix,Mexican Grand Prix,2015-11-01,rodriguez,19:00:00Z
2015,18,https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix,Brazilian Grand Prix,2015-11-15,interlagos,16:00:00Z
2015,19,https://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,2015-11-29,yas_marina,13:00:00Z
1971,1,http://en.wikipedia.org/wiki/1971_South_African_Grand_Prix,South African Grand Prix,1971-03-06,kyalami,
1971,2,http://en.wikipedia.org/wiki/1971_Spanish_Grand_Prix,Spanish Grand Prix,1971-04-18,montjuic,
1971,3,http://en.wikipedia.org/wiki/1971_Monaco_Grand_Prix,Monaco Grand Prix,1971-05-23,monaco,
1971,4,http://en.wikipedia.org/wiki/1971_Dutch_Grand_Prix,Dutch Grand Prix,1971-06-20,zandvoort,
1971,5,http://en.wikipedia.org/wiki/1971_French_Grand_Prix,French Grand Prix,1971-07-04,ricard,
1971,6,http://en.wikipedia.org/wiki/1971_British_Grand_Prix,British Grand Prix,1971-07-17,silverstone,
1971,7,http://en.wikipedia.org/wiki/1971_German_Grand_Prix,German Grand Prix,1971-08-01,nurburgring,
1971,8,http://en.wikipedia.org/wiki/1971_Austrian_Grand_Prix,Austrian Grand Prix,1971-08-15,osterreichring,
1971,9,http://en.wikipedia.org/wiki/1971_Italian_Grand_Prix,Italian Grand Prix,1971-09-05,monza,
1971,10,http://en.wikipedia.org/wiki/1971_Canadian_Grand_Prix,Canadian Grand Prix,1971-09-19,mosport,
1971,11,http://en.wikipedia.org/wiki/1971_United_States_Grand_Prix,United States Grand Prix,1971-10-03,watkins_glen,
1988,1,http://en.wikipedia.org/wiki/1988_Brazilian_Grand_Prix,Brazilian Grand Prix,1988-04-03,jacarepagua,
1988,2,http://en.wikipedia.org/wiki/1988_San_Marino_Grand_Prix,San Marino Grand Prix,1988-05-01,imola,
1988,3,http://en.wikipedia.org/wiki/1988_Monaco_Grand_Prix,Monaco Grand Prix,1988-05-15,monaco,
1988,4,http://en.wikipedia.org/wiki/1988_Mexican_Grand_Prix,Mexican Grand Prix,1988-05-29,rodriguez,
1988,5,http://en.wikipedia.org/wiki/1988_Canadian_Grand_Prix,Canadian Grand Prix,1988-06-12,villeneuve,
1988,6,http://en.wikipedia.org/wiki/1988_Detroit_Grand_Prix,Detroit Grand Prix,1988-06-19,detroit,
1988,7,http://en.wikipedia.org/wiki/1988_French_Grand_Prix,French Grand Prix,1988-07-03,ricard,
1988,8,http://en.wikipedia.org/wiki/1988_British_Grand_Prix,British Grand Prix,1988-07-10,silverstone,
1988,9,http://en.wikipedia.org/wiki/1988_German_Grand_Prix,German Grand Prix,1988-07-24,hockenheimring,
1988,10,http://en.wikipedia.org/wiki/1988_Hungarian_Grand_Prix,Hungarian Grand Prix,1988-08-07,hungaroring,
1988,11,http://en.wikipedia.org/wiki/1988_Belgian_Grand_Prix,Belgian Grand Prix,1988-08-28,spa,
1988,12,http://en.wikipedia.org/wiki/1988_Italian_Grand_Prix,Italian Grand Prix,1988-09-11,monza,
