constructorId,url,name,nationality,color
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British,#444444
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British,#444444
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British,#444444
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British,#444444
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British,#444444
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British,#444444
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese,#444444
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British,#444444
march,http://en.wikipedia.org/wiki/March_Engineering,March,British,#444444
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British,#444444
march-ford,http://en.wikipedia.org/wiki/March_Engineering,March-Ford,British,#444444
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American,#444444
martini,http://en.wikipedia.org/wiki/Martini_(cars),Martini,French,#444444
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian,#444444
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian,#444444
matra,http://en.wikipedia.org/wiki/Matra,Matra,French,#444444
matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French,#444444
mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,MBM,Swiss,#444444
mcguire,http://en.wikipedia.org/wiki/McGuire_(Formula_One),McGuire,Australian,#444444
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,#FF8700
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British,#444444
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British,#444444
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British,#444444
mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Serenissima,British,#444444
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,#00D3bE
merzario,http://en.wikipedia.org/wiki/Merzario,Merzario,Italian,#444444
meskowski,http://en.wikipedia.org/wiki/Meskowski,Meskowski,American,#444444
mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,MF1,Russian,#F596C8
milano,http://en.wikipedia.org/wiki/Scuderia_Milano,Milano,Italian,#444444
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian,#469BFF
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American,#444444
nichels,http://en.wikipedia.org/wiki/Nichels,Nichels,American,#444444
olson,http://en.wikipedia.org/wiki/Olson_(constructor),Olson,American,#444444
onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),Onyx,British,#444444
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian,#444444
osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian,#444444
pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British,#444444
pankratz,http://en.wikipedia.org/wiki/Pankratz,Pankratz,American,#444444
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American,#444444
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American,#444444
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American,#444444
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American,#444444
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British,#444444
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German,#444444
prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French,#444444
protos,http://en.wikipedia.org/wiki/Protos_(constructor),Protos,British,#444444
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British,#F596C8
rae,http://en.wikipedia.org/wiki/Rae_(motorsport),Rae,American,#444444
ram,http://en.wikipedia.org/wiki/RAM_Racing,RAM,British,#444444
re,http://en.wikipedia.org/wiki/RE_%28automobile%29,RE,Rhodesian,#444444
rebaque,http://en.wikipedia.org/wiki/Rebaque,Rebaque,Mexican,#444444
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,#1E41FF
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French,#FFF500
rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,Rial,German,#444444
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss,#9B0000
scarab,http://en.wikipedia.org/wiki/Scarab_(constructor),Scarab,American,#444444
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American,#444444
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British,#444444
alpha_tauri,http://en.wikipedia.org/wiki/Scuderia_Alpha_Tauri,Scuderia Alpha Tauri,Italian,#444444
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British,#444444
shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Ford,British,#444444
shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Matra,British,#444444
shannon,http://en.wikipedia.org/wiki/Shannon_(Formula_One),Shannon,British,#444444
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),Sherman,American,#444444
simca,http://en.wikipedia.org/wiki/Simca,Simca,French,#444444
simtek,http://en.wikipedia.org/wiki/Simtek,Simtek,British,#444444
snowberger,http://en.wikipedia.org/wiki/Snowberger,Snowberger,American,#444444
spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team),Spirit,British,#444444
spyker,http://en.wikipedia.org/wiki/Spyker_F1,Spyker,Dutch,#F596C8
spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch,#F596C8
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian,#444444
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American,#444444
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British,#444444
super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese,#444444
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British,#444444
sutton,http://en.wikipedia.org/wiki/Sutton_(constructor),Sutton,American,#444444
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French,#444444
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British,#444444
tec-mec,http://en.wikipedia.org/wiki/Tec-Mec,Tec-Mec,Italian,#444444
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian,#444444
theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong,#444444
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British,#444444
toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British,#444444
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian,#469BFF
toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese,#444444
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American,#444444
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British,#444444
turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American,#444444
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British,#444444
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British,#444444
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German,#444444
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British,#444444
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American,#444444
wetteroth,http://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American,#444444
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,#FFFFFF
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian,#444444
zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German,#444444
